DM201C, MGSP-LEADERS (CHEMISTRY)
DM201E, MGSP-LEADERS (ENGINEERING)
DM201F, MGSP-LEADERS (SOCIAL SCIENCES)
DM201I, MGSP-LEADERS (COMPSCI)
DM201M, MGSP-LEADERS (MATHEMATICS)
DM201P, MGSP-LEADERS (PHYSICS)
DM201S, MGSP-LEADERS (ENGINEERING)
DM202C, MGSP-LEADERS (CHEMISTRY)
DM202D, MGSP-LEADERS (DYNAMICS)
DM202E, MGSP-LEADERS (ENGINEERING)
DM202I, MGSP-LEADERS (COMPSCI)
DM202M, MGSP-LEADERS (MATHEMATICS)
DM202P, MGSP-LEADERS (PHYSICS)
DM212, MGSP-STAFF
DM212C, MGSP-LEADERS (CHEMISTRY)
DM212E, MGSP-LEADERS (ENGINEERING)
DM212F, MGSP - LEADERS (SOCIAL SCIENCES)
DM212I, MGSP-LEADERS (COMPUTER SCIENCE)
DM212L, MGSP-LEADERS (LANGUAGE)
DM212M, MGSP-LEADERS (MATHEMATICS)
DM212N, MGSP-LEADERS (NAVIGATION)
DM212P, MGSP-LEADERS (PHYSICS)
DM212S, MGSP - LEADERS (ENGINEERING)
DM301, MGSP-LEADERS
DM301C, MGSP-LEADERS (CHEMISTRY)
DM301E, MGSP-LEADERS (ENGINEERING)
DM301F, MGSP - LEADERS (SOCIAL SCIENCES)
DM301I, MGSP-LEADERS (COMPUTER SCIENCE)
DM301L, MGSP-LEADERS (LANGUAGE)
DM301M, MGSP-LEADERS (MATHEMATICS)
DM301N, MGSP-LEADERS (NAVIGATION)
DM301P, MGSP-LEADERS (PHYSICS)
DM301S, MGSP-LEADERS (ENGINEERING)
DM302C, MGSP-MENTORS (CHEMISTRY)
DM302D, MGSP-MENTORS (DYNAMICS)
DM302E, MGSP-MENTORS (ENGINEERING)
DM302I, MGSP-MENTORS (COMPUTER SCIENCE)
DM302M, MGSP-MENTORS (MATHEMATICS)
DM302P, MGSP-MENTORS (PHYSICS)
DM401C, MGSP-LEADERS (CHEMISTRY)
DM401E, MGSP-LEADERS (ENGINEERING)
DM401M, MGSP-LEADERS (MATHEMATICS)
DM401P, MGSP-LEADERS (PHYSICS)
DM401S, MGSP-LEADERS (ENGINEERING)
DM402C, MGSP-SUPERVISORS (CHEMISTRY)
DM402D, MGSP-SUPERVISORS (DYNAMICS)
DM402E, MGSP-SUPERVISORS (ENGINEERING)
DM402M, MGSP-SUPERVISORS (MATHEMATICS)
DM402P, MGSP-SUPERVISORS (PHYSICS)
EA202, PRINCIPLES OF FLIGHT
EA203, PRINCIPLES OF AEROSPACE ENGINEERING I
EA204, PRINCIPLES OF AEROSPACE ENGINEERING II
EA205, PRINCIPLES OF AERONAUTICS AND ASTRONAUTICS
EA221, ENGINEERING MECHANICS FOR AEROSPACE ENGINEERING
EA222, MATERIALS FOR AEROSPACE ENGINEERS
EA232, DYNAMICS IN AEROSPACE ENGINEERING
EA300, INTRODUCTION TO AERONAUTICS
EA301, AERODYNAMICS
EA303, WIND TUNNEL
EA304, AERODYNAMICS II
EA305, AERO/GAS DYNAMICS
EA305L, AERO/GAS DYNAMICS - LAB ONLY
EA307, ENGINEERING ANALYSIS
EA308, ENGINEERING ANALYSIS
EA322, STRUCTURES FOR AEROSPACE ENG
EA322L, STRUCTURES FOR AEROSPACE ENG (LAB ONLY)
EA332, GAS DYNAMICS
EA361, INTRO TO SPACE
EA362, ASTRODYNAMICS I
EA362A, ASTRODYNAMICS I (ASTRO)
EA364, SPACECRAFT ATTITUDE DYNAMICS & CONTROL
EA365, ROCKET PROPULSION
EA400, INTRODUCTION TO AERONAUTICS
EA401, AIRCRAFT PERFORMANCE & DESIGN
EA401F, PERFORMANCE AND DESIGN OF FIXED-WING AIRCRAFT
EA401R, PERFORMANCE AND DESIGN OF ROTARY-WING AIRCRAFT
EA413, STABILITY AND CONTROL
EA413F, STABILITY AND CONTROL: FIXED-WING
EA413R, STABILITY AND CONTROL: ROTOR
EA414, AIRPLANE SIMULATION AND CONTROL
EA417, ELEMENTS OF FLIGHT TEST ENGINEERING
EA421, AEROSPACE STRUCTURES II
EA424, STRUCTURAL DYNAMICS
EA425, VISCOUS FLOW
EA427, AERODYNAMICS III
EA428, COMPUTATIONAL AERODYNAMICS
EA429, FLIGHT PROPULSION
EA430, PROPULSION II
EA435, THE AERODYNAMICS OF V/STOL AIRCRAFT
EA439, SPECIAL AIRCRAFT DESIGN
EA440, AEROSPACE VEHICLE DESIGN
EA450, COMPUTER AIDED DESIGN
EA461, SPACE ENVIRONMENT
EA462, ASTRODYNAMICS II
EA463, SPACE OPERATIONS
EA464, ATTITUDE DYN & CNTRL
EA465, SPACECRAFT COMMUNICATIONS AND POWER
EA466, SPACECRAFT THERMAL CONTROL
EA467, SPACECRAFT SYSTEM LABORATORY
EA469, SPECIAL SPACE CRAFT DESIGN
EA470, SPACECRAFT DESIGN
EA482, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA483, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA485, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA485A, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA485F, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486A, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486B, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486C, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486D, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486E, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486F, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486G, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486J, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486K, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA486L, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA488A, ADVANCED TOPICS IN AEROSPACE ENGINEERING
EA495, AERO ENG RES/DES
EA496, AERO ENG RES DES
EA581, TRIDENT SCHOLAR PROJECT
EA582, TRIDENT SCHOLAR PROJECT
EA583, TRIDENT SCHOLAR PROJECT
EA588, TRIDENT SCHOLAR PROJECT
EA589, TRIDENT SCHOLAR PROJECT
EA590, TRIDENT SCHOLAR PROJECT
EA591, TRIDENT SCHOLAR PROJECT
EA592, TRIDENT SCHOLAR PROJECT
EC244, ELECTRONICS/ELECTROMECHANICS
EC262, DIGITAL SYSTEMS
EC310, APPLICATIONS OF CYBER ENGINEERING
EC312, APPLICATIONS OF CYBER ENGINEERING FOR SYSTEMS ENG
EC356, COMPUTER NETWORKS WITH SECURITY APPLICATIONS
EC361, MICROCOMPUTER-BASED DESIGN
EC362, COMPUTER ARCHITECTURE
EC404, OPERATING SYSTEMS
EC415, COMPUTER ENG DESIGN II
EC436, INTRO COMPUTER NETWORKS
